title,price
"Ghostrunner (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 347,400"
ALIENATION™ (English/Chinese/Korean Ver.),"Rp 347,400"
Death end re;Quest (English Ver.),"Rp 347,400"
"Hello Neighbor (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 347,400"
"Last Stop (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 347,400"
"Days Gone Standard Edition (Simplified Chinese, English, Korean)","Rp 347,400"
ONINAKI (English/Japanese Ver.),"Rp 347,400"
Trials® Rising - Digital Standard Edition (English/Chinese/Japanese Ver.),"Rp 347,400"
For The King (English/Chinese/Korean/Japanese Ver.),"Rp 347,400"
Ashen (English/Chinese/Korean/Japanese Ver.),"Rp 347,400"
Darksiders III (Game),"Rp 347,400"
"Secret Neighbor (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 347,400"
Middle-earth™: Shadow of War™ (English/Chinese/Korean Ver.),"Rp 347,400"
FINAL FANTASY VII (English/Japanese Ver.),"Rp 347,400"
"FINAL FANTASY VII REMAKE (Simplified Chinese, Korean, Traditional Chinese)","Rp 347,400"
WORLD OF FINAL FANTASY (Chinese/Korean Ver.),"Rp 347,400"
"Call of Cthulhu® (Simplified Chinese, English, Korean)","Rp 347,400"
"FAR CRY 3: BLOOD DRAGON CLASSIC EDITION (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 347,400"
Killzone™ Shadow Fall PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 139,500"
XCOM 2 (English/Chinese/Korean Ver.),"Rp 139,500"
"Moving Out (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 139,500"
"Totally Reliable Delivery Service (English, Korean, Japanese)","Rp 139,500"
FIGHTING EX LAYER (Standard Version) (English/Japanese Ver.),"Rp 139,500"
Detroit: Become Human™ Standard Edition (English/Chinese/Korean Ver.),"Rp 139,500"
"Battle Chasers: Nightwar (Simplified Chinese, English, Korean, Japanese)","Rp 139,500"
PAW Patrol On a Roll (English),"Rp 139,500"
Harvest Moon®: Light of Hope Special Edition (English Ver.),"Rp 139,500"
The Messenger (English/Korean/Japanese Ver.),"Rp 139,500"
FINAL FANTASY® IX (English Ver.),"Rp 139,500"
The Surge 2 (English/Chinese/Korean Ver.),"Rp 139,500"
Prison Architect: PlayStation®4 Edition (Game),"Rp 139,500"
"The Artful Escape (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 139,500"
The LEGO® Movie Videogame full game (English Ver.),"Rp 139,500"
"Deliver Us The Moon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","Rp 139,500"
"Deliver Us The Moon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","Rp 139,500"
Valiant Hearts: The Great War full game (English),"Rp 139,500"
"Overcooked! 2 (Simplified Chinese, English, Korean, Japanese)","Rp 139,500"
"Caladrius Blaze (English, Korean)","Rp 139,500"
The MISSING: J.J. Macfield and the Island of Memories (English/Chinese/Korean/Japanese Ver.),"Rp 139,500"
"Destruction AllStars (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 139,500"
inFAMOUS Second Son™ PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 139,500"
Until Dawn™ PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 139,500"
South Park™: The Fractured but Whole™ - Digital Standard Edition (English),"Rp 172,250"
"GRIP (Simplified Chinese, English, Korean)","Rp 172,250"
Monster Jam Steel Titans 2 (English),"Rp 172,250"
"Monster Truck Championship (Simplified Chinese, English, Korean, Thai, Traditional Chinese)","Rp 172,250"
The Last Guardian (English/Chinese/Korean Ver.),"Rp 172,250"
"Batman™: Arkham Knight PlayStation®Hits (English, Korean)","Rp 172,250"
Observation (English/Korean/Japanese Ver.),"Rp 172,250"
"This is the Police (Simplified Chinese, English)","Rp 172,250"
"Golf With Your Friends (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 172,250"
The Crew (English),"Rp 172,250"
ABZU (English),"Rp 172,250"
"JUDGE EYES: wills of death Remastered (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 172,250"
ReadySet Heroes (English/Chinese/Korean Ver.),"Rp 172,250"
"This Is the Police 2 (English, Korean, Japanese, Traditional Chinese)","Rp 172,250"
